51,51,51,51,51,51,51,51,51,51,51,52,53,57,51,51,51,51,51,51,51,51,51,51,51,51,51,52,53,57,51,51,51,51,51,51,51,51,51,51,51,51,51,52,53,55,56,57,51,51,51,51,51,51,51,51,51,51,51,52,53,57,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,53,57,51,51,51,52,53,54,54,53,53,57,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,57,52,54,54,57,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,53,53,57,51,51,51,51,51,51,51,51,51,49
51,51,51,51,51,51,51,52,53,54,57,58,59,63,51,51,51,51,51,51,51,51,51,52,53,54,57,58,59,63,51,51,52,53,57,51,51,51,51,51,51,51,51,58,59,59,59,63,51,51,51,51,51,51,51,52,53,54,57,58,59,63,51,51,51,51,51,51,51,51,51,51,51,52,55,56,54,53,57,51,51,52,53,55,56,57,51,51,51,51,51,51,58,59,63,51,51,51,58,61,62,60,61,60,63,51,51,51,51,51,51,51,52,53,54,57,51,51,51,51,51,51,51,51,51,51,58,63,58,59,59,63,51,51,51,51,51,51,51,51,51,51,51,51,51,51,58,59,59,63,51,51,51,51,28,21,51,51,48,85
51,51,51,51,51,29,21,58,59,59,63,51,51,51,51,51,51,51,51,51,51,29,21,58,59,59,63,51,51,51,51,51,58,59,63,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,28,21,58,59,59,63,51,51,51,51,51,51,51,51,51,51,51,51,51,51,58,61,61,60,59,63,51,51,58,61,62,60,63,51,28,21,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,58,61,59,63,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,28,21,51,51,51,51,51,51,51,51,51,51,51,51,51,51,28,23,51,51,51,51,24,34,25,22,51,85,91
51,51,51,51,24,34,25,22,51,51,51,51,51,51,51,51,51,51,51,51,24,34,25,22,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,24,34,25,22,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,24,34,36,22,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,29,22,51,51,51,51,28,23,51,51,51,51,51,51,51,51,51,51,51,51,51,51,24,34,25,22,51,51,51,51,51,51,51,51,51,51,51,51,24,34,39,22,51,51,40,34,34,26,14,23,91,93
51,51,51,24,34,34,26,14,23,51,51,51,51,27,21,51,51,51,51,24,34,34,26,14,23,51,51,51,51,27,21,51,51,51,51,51,51,51,64,65,66,51,51,51,51,51,51,51,51,51,51,24,34,34,26,14,23,51,51,51,51,27,21,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,24,34,35,14,14,23,51,51,28,21,51,51,51,51,51,51,51,51,51,51,51,49,30,38,14,21,51,51,24,34,39,22,51,51,49,101,50,51,51,51,29,21,51,51,24,34,34,26,14,23,27,22,51,51,51,51,51,51,51,51,24,34,35,14,14,21,30,31,33,38,14,14,14,94,90
27,21,30,31,33,32,14,14,14,23,51,51,29,14,14,22,27,21,30,31,33,32,14,14,14,23,51,51,29,14,14,22,51,51,51,51,51,51,68,69,70,51,51,51,51,51,51,51,27,21,30,31,33,32,14,14,14,23,51,51,29,14,14,22,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,24,34,26,14,14,14,14,22,30,38,14,23,51,51,51,51,51,51,51,51,51,48,95,88,14,14,14,23,30,33,31,14,14,21,48,95,86,97,100,50,30,38,14,23,30,31,33,31,14,14,14,14,14,21,49,101,50,51,51,51,27,33,31,14,14,14,14,14,14,14,14,14,14,14,89,93
14,14,14,14,14,14,14,14,14,14,22,30,32,14,14,14,14,14,14,14,14,14,14,14,14,14,21,30,32,14,14,14,21,51,51,49,71,72,73,74,75,76,77,78,79,80,84,27,14,14,14,14,14,14,14,14,14,14,22,30,32,14,14,14,21,51,51,51,51,51,51,51,51,51,51,51,43,51,51,27,21,51,51,30,33,31,14,14,14,14,14,14,14,14,14,14,21,82,80,79,81,50,51,51,48,95,89,90,88,14,14,14,14,14,14,4,3,14,85,90,89,89,86,88,14,0,6,14,14,4,3,14,14,14,14,14,14,14,85,87,97,100,82,83,11,6,14,14,14,14,14,14,14,14,14,14,14,85,94,96
4,1,2,1,2,11,6,14,14,14,14,14,85,88,14,14,4,1,2,1,2,5,6,14,14,14,14,14,85,88,14,14,4,81,48,95,86,86,86,86,92,88,92,86,86,88,7,6,4,1,2,1,2,5,6,14,14,14,14,14,85,88,14,14,4,79,81,51,43,51,45,43,47,43,47,47,42,41,27,14,14,22,27,14,0,1,3,14,14,14,0,3,14,14,14,14,4,9,85,86,86,97,100,48,95,90,91,94,89,88,14,14,4,1,2,9,85,86,89,94,93,96,89,89,86,88,7,6,4,9,85,88,14,14,14,14,14,85,90,89,89,88,7,8,9,85,88,4,5,11,6,14,14,14,14,14,14,89,93,12
9,85,86,87,86,7,8,1,2,3,14,85,90,91,88,0,9,85,86,87,86,7,8,1,2,3,14,85,90,91,88,0,9,85,92,90,89,90,90,89,89,89,90,91,91,90,90,7,9,85,86,87,88,7,8,1,2,3,14,85,90,91,88,0,9,85,97,41,42,41,44,42,46,42,46,46,85,86,88,0,3,14,14,85,86,86,88,14,14,14,85,88,14,14,14,0,9,85,91,91,94,91,86,87,91,12,13,10,94,89,88,0,9,85,86,86,91,94,91,96,93,90,90,91,94,91,88,7,9,85,89,91,14,4,6,14,85,91,94,91,94,91,86,86,86,89,94,7,8,8,8,2,3,14,0,3,14,90,94,90
86,89,89,90,91,92,86,86,89,86,86,89,91,93,94,86,86,89,89,90,91,92,86,86,87,86,86,89,91,93,94,86,86,90,94,93,93,89,94,94,90,91,91,93,89,89,90,89,86,89,89,90,91,92,86,86,92,86,86,89,91,93,94,86,86,90,89,86,86,86,92,86,86,92,86,86,89,90,90,86,88,15,16,17,18,18,17,19,15,16,17,18,19,15,15,85,87,91,12,13,89,90,94,91,89,90,90,89,94,91,90,86,87,89,90,89,93,10,12,13,89,90,93,93,94,93,94,86,86,89,91,93,88,7,9,85,91,12,13,90,89,93,91,90,90,96,93,86,86,86,87,86,86,86,86,87,86,91,93,94
90,94,91,94,93,94,90,90,89,89,90,94,93,93,93,91,90,94,91,94,93,94,90,90,89,89,90,94,93,96,96,91,89,91,93,96,89,91,93,89,93,96,96,90,91,91,94,91,90,94,91,94,93,94,90,90,89,89,90,94,93,96,96,91,90,91,94,89,89,90,90,89,90,90,90,89,91,91,91,89,91,20,20,20,20,20,20,20,20,20,20,20,20,20,20,90,89,90,89,90,93,94,93,90,91,91,94,91,93,96,94,89,89,91,94,94,90,89,90,90,91,93,96,96,96,93,96,91,90,94,93,96,96,86,86,94,93,89,90,94,91,96,93,94,91,93,99,96,94,90,90,89,90,89,89,90,89,94,96,98
